id;start_date;end_date;language
1;2020-02-14T06:45:00;2020-02-14T04:35:15;SPANISH
2;2020-02-13T11:35:11;2020-02-14T06:39:36;SPANISH
3;2020-02-14T02:30:30;2020-02-13T13:04:39;FRENCH
4;2020-02-13T17:48:01;2020-02-14T05:19:27;FRENCH
5;2020-02-14T03:18:19;2020-02-14T08:05:18;FRENCH
6;2020-02-13T21:10:40;2020-02-14T09:18:54;FRENCH
7;2020-02-13T22:56:00;2020-02-13T16:46:51;FRENCH
8;2020-02-13T21:52:13;2020-02-14T08:08:21;SPANISH
9;2020-02-13T20:33:22;2020-02-13T17:14:45;SPANISH
10;2020-02-14T04:45:26;2020-02-13T15:19:56;SPANISH
